id,stencilNumber,lItem_id
2C9M7X7W, 0062, 4W9V0E1J
0T8U4V2Q, 0063, 4W9V0E1J
1Q1V2C9C, 0408, 4W9V0E1J
6E6G2M9C, 0773, 4W9V0E1J
8E4O5S2H, 0895, 4W9V0E1J
0Y2K5R1G, 0897, 4W9V0E1J
2U6Z7G5W, 0898, 4W9V0E1J
6Q1W9K8H, 0909, 4W9V0E1J
3F2H2H7K, 1105, 4W9V0E1J
4J9W3P2P, 1161, 4W9V0E1J
9A9I1X8S, 1241, 4W9V0E1J
4S9S0E1N, 1632, 4W9V0E1J
7F8X1T1D, 1633, 4W9V0E1J
8V8G4S1I, 1748, 4W9V0E1J
9C5G4L6V, 1830, 4W9V0E1J
8V5M1D9O, 2081, 4W9V0E1J
0T8U4V2Q, 0063, 2P4L5L8M
5B4W0L8Y, 0250, 2P4L5L8M
0R6K3Y2M, 0304, 2P4L5L8M
0K0A5Q9X, 0305, 2P4L5L8M
9K6M8K7K, 0405, 2P4L5L8M
5K9M8O4B, 1631, 2P4L5L8M
3U5N6X2D, 1775, 2P4L5L8M
0Z2V8Z1V, 1782, 2P4L5L8M
9O9Y7X1C, 1783, 2P4L5L8M
4Q9X8N5X, 1784, 2P4L5L8M
5P7Y4M7C, 0014, 9N0A0E3Z
2P2N2O9S, 0298, 9N0A0E3Z
6H2F2X8K, 0158, 2F0N4J9Y
5X3Z7F6F, 0159, 2F0N4J9Y
9X0B4F1R, 0306, 2F0N4J9Y
7O9T8V9I, 0407, 2F0N4J9Y
1Q1V2C9C, 0408, 2F0N4J9Y
7B7T4B0F, 0457, 2F0N4J9Y
2G1Y8O8O, 0459, 2F0N4J9Y
6X6C5K6O, 0460, 2F0N4J9Y
5Q0P1V1P, 0896, 2F0N4J9Y
3R9H8B9Z, 0916, 2F0N4J9Y
0J7C4H0G, 0941, 2F0N4J9Y
1H4Z9G6V, 0976, 2F0N4J9Y
7S6X9H8G, 0977, 2F0N4J9Y
1T6U4I0Y, 0978, 2F0N4J9Y
9K5R1V0E, 1091, 2F0N4J9Y
4A0J0U4I, 1158, 2F0N4J9Y
5T4H9I5S, 1159, 2F0N4J9Y
4J9W3P2P, 1161, 2F0N4J9Y
2W9D9E4M, 1173, 2F0N4J9Y
1X7V0Y2A, 1201, 2F0N4J9Y
2G0G9W3A, 1443, 2F0N4J9Y
8V8G4S1I, 1748, 2F0N4J9Y
2O7B7V2G, 1764, 2F0N4J9Y
7I2K5W0N, 1858, 2F0N4J9Y
7D6L4Y8I, 2234, 2F0N4J9Y
1C8V5E6Q, 2235, 2F0N4J9Y
5B4W0L8Y, 0250, 7H3U6J8R
2P2N2O9S, 0298, 7H3U6J8R
3U5N6X2D, 1775, 7H3U6J8R
0Z2V8Z1V, 1782, 7H3U6J8R
9O9Y7X1C, 1783, 7H3U6J8R
4Q9X8N5X, 1784, 7H3U6J8R
4O9F5E1Q, 2281, 7H3U6J8R
3S9P4I9T, 0303, 2M6S9X2Y
3I4C2Q5F, 1380, 2M6S9X2Y
2Y0O1J3A, 0307, 1W4J6O3J
7H9L2Q1Q, 0103, 1K1Q1K6R
6E0Z9N2R, 1223, 1K1Q1K6R
5Z9E6T0M, 1225, 1K1Q1K6R
2C0H6Z7E, 1226, 1K1Q1K6R
6P7A7A6X, 1227, 1K1Q1K6R
5P4X0T9C, 1781, 1K1Q1K6R
0S5C7W4T, 1960, 1K1Q1K6R
7K7O0V9C, 1961, 1K1Q1K6R
8X2R3O0K, 1962, 1K1Q1K6R
5B4W0L8Y, 0250, 2F8A1X0H
3S9P4I9T, 0303, 2F8A1X0H
8O7P0R8X, 0319, 2F8A1X0H
5S1X7G3Q, 0300, 3D5S8V0B
8F0Y1T2Y, 0302, 3D5S8V0B
9X0P7S6S, 0462, 3D5S8V0B
2B6X2A9C, 0911, 3D5S8V0B
9A9I1X8S, 1241, 3D5S8V0B
2M3D7U3W, 1312, 3D5S8V0B
2G7R4F7L, 1638, 3D5S8V0B
2O7B7V2G, 1764, 3D5S8V0B
1Y5N7Y5W, 1769, 3D5S8V0B
5P4X0T9C, 1781, 3D5S8V0B
0Z2V8Z1V, 1782, 3D5S8V0B
6F0H4W9I, 1953, 3D5S8V0B
0S5C7W4T, 1960, 3D5S8V0B
7K7O0V9C, 1961, 3D5S8V0B
1Y3R6T1L, 2030, 3D5S8V0B
3Q4Q7B5N, 2126, 3D5S8V0B
8Z0Y2V3M, 2127, 3D5S8V0B
1Y9Y4G3Y, 2128, 3D5S8V0B
6M0F9Y5P, 2130, 3D5S8V0B
6Z0F0H6S, 2222, 3D5S8V0B
4M2Z2G0T, 2317, 3D5S8V0B
5S1X7G3Q, 0300, 1G5O5I3X
8F0Y1T2Y, 0302, 1G5O5I3X
9X0P7S6S, 0462, 1G5O5I3X
2B6X2A9C, 0911, 1G5O5I3X
9A9I1X8S, 1241, 1G5O5I3X
2M3D7U3W, 1312, 1G5O5I3X
2G7R4F7L, 1638, 1G5O5I3X
2O7B7V2G, 1764, 1G5O5I3X
3B3G0N9U, 1770, 1G5O5I3X
5P4X0T9C, 1781, 1G5O5I3X
9O9Y7X1C, 1783, 1G5O5I3X
6F0H4W9I, 1953, 1G5O5I3X
0S5C7W4T, 1960, 1G5O5I3X
7K7O0V9C, 1961, 1G5O5I3X
1Y3R6T1L, 2030, 1G5O5I3X
3Q4Q7B5N, 2126, 1G5O5I3X
8Z0Y2V3M, 2127, 1G5O5I3X
1Y9Y4G3Y, 2128, 1G5O5I3X
6M0F9Y5P, 2130, 1G5O5I3X
6Z0F0H6S, 2222, 1G5O5I3X
4M2Z2G0T, 2317, 1G5O5I3X
5S1X7G3Q, 0300, 7N7K8A3R
8F0Y1T2Y, 0302, 7N7K8A3R
9X0P7S6S, 0462, 7N7K8A3R
2B6X2A9C, 0911, 7N7K8A3R
9A9I1X8S, 1241, 7N7K8A3R
2M3D7U3W, 1312, 7N7K8A3R
2G7R4F7L, 1638, 7N7K8A3R
2O7B7V2G, 1764, 7N7K8A3R
3W7K2F0F, 1771, 7N7K8A3R
5P4X0T9C, 1781, 7N7K8A3R
4Q9X8N5X, 1784, 7N7K8A3R
6F0H4W9I, 1953, 7N7K8A3R
3Q4Q7B5N, 2126, 7N7K8A3R
8Z0Y2V3M, 2127, 7N7K8A3R
1Y9Y4G3Y, 2128, 7N7K8A3R
6M0F9Y5P, 2130, 7N7K8A3R
6Z0F0H6S, 2222, 7N7K8A3R
4M2Z2G0T, 2317, 7N7K8A3R
2U8M6K4K, 0102, 6Y6S9A9D
1W1D3P5F, 0299, 6Y6S9A9D
4I2P9Z0K, 0301, 6Y6S9A9D
0J1Y7J2A, 0498, 6Y6S9A9D
6E0Z9N2R, 1223, 6Y6S9A9D
2L7J7I8G, 1224, 6Y6S9A9D
5Z9E6T0M, 1225, 6Y6S9A9D
2C0H6Z7E, 1226, 6Y6S9A9D
6P7A7A6X, 1227, 6Y6S9A9D
3C3W3P3K, 1240, 6Y6S9A9D
5K9M8O4B, 1631, 6Y6S9A9D
3U5N6X2D, 1775, 6Y6S9A9D
9C5G4L6V, 1830, 6Y6S9A9D
0O6Y8O4H, 1831, 6Y6S9A9D
6G6N5M5V, 2047, 6Y6S9A9D
0X6E2O8P, 2074, 6Y6S9A9D
5B7M2W2V, 2075, 6Y6S9A9D
9M0Q8N0J, 2124, 6Y6S9A9D
3N5E8I8N, 2125, 6Y6S9A9D
6K6Y9H3J, 2129, 6Y6S9A9D
1D3N3P3K, 2221, 6Y6S9A9D
9K5X2Y1B, 2311, 6Y6S9A9D
5M4A3E5J, 0104, 8X5J4X2I
1W1D3P5F, 0299, 8X5J4X2I
5S1X7G3Q, 0300, 8X5J4X2I
4I2P9Z0K, 0301, 8X5J4X2I
8F0Y1T2Y, 0302, 8X5J4X2I
0K0A5Q9X, 0305, 8X5J4X2I
0J1Y7J2A, 0498, 8X5J4X2I
2B6X2A9C, 0911, 8X5J4X2I
3C3W3P3K, 1240, 8X5J4X2I
2G7R4F7L, 1638, 8X5J4X2I
7B4Q1V8Q, 1772, 8X5J4X2I
3U5N6X2D, 1775, 8X5J4X2I
9C5G4L6V, 1830, 8X5J4X2I
0O6Y8O4H, 1831, 8X5J4X2I
6G6N5M5V, 2047, 8X5J4X2I
0X6E2O8P, 2074, 8X5J4X2I
5B7M2W2V, 2075, 8X5J4X2I
9M0Q8N0J, 2124, 8X5J4X2I
3N5E8I8N, 2125, 8X5J4X2I
8Z0Y2V3M, 2127, 8X5J4X2I
1Y9Y4G3Y, 2128, 8X5J4X2I
6K6Y9H3J, 2129, 8X5J4X2I
6M0F9Y5P, 2130, 8X5J4X2I
1D3N3P3K, 2221, 8X5J4X2I
6Z0F0H6S, 2222, 8X5J4X2I
9K5X2Y1B, 2311, 8X5J4X2I
9E8E7B7V, 2478, 8X5J4X2I
7J5E6U2S, 0013, 0T8C1G8U
0S4Y2W5L, 0051, 0T8C1G8U
1F2G5X5V, 1040, 0T8C1G8U
2B5U8F3G, 2335, 0T8C1G8U
7J5E6U2S, 0013, 0I4S5M6R
0S4Y2W5L, 0051, 0I4S5M6R
2B5U8F3G, 2335, 0I4S5M6R
0R6K3Y2M, 0304, 0J5G9T4S
9Y7H8O9L, 0328, 0G7L2D1C
2I5W9X0Z, 1275, 0G7L2D1C
8J4C0E7T, 1283, 0G7L2D1C
4N5Z0Y1G, 0329, 1P0Q9K8K
9S3H5G5M, 0330, 2P3T3L9B
4C9K2M3G, 0334, 2P3T3L9B
2T9G3Y2P, 0338, 2P3T3L9B
0V2A1F4Z, 1276, 2P3T3L9B
2P2J7N4D, 1317, 2P3T3L9B
9T8W2A4U, 0331, 0A6M6W9B
2W4Y2Y6J, 0335, 0A6M6W9B
2E2P9K2W, 0339, 0A6M6W9B
1B3G8H0Q, 0341, 1U7U9C7S
0Z2N7M1M, 1163, 6Z5I7R5Z
0B2P9B6P, 2470, 6Z5I7R5Z
4W8W6V2P, 1030, 5L5P5J2R
5Y1G2Z3O, 0098, 7D6R5D0N
9N4T2N9S, 0905, 7D6R5D0N
3I9I3E6L, 1206, 7D6R5D0N
9P3C3P1H, 0099, 3A3N0H5L
9N4T2N9S, 0905, 3A3N0H5L
3I9I3E6L, 1206, 3A3N0H5L
4R5I3M1T, 0906, 4Y4X0U3T
3J2X2Z5S, 0009, 2X0W6P8X
5L4J8U2V, 0010, 2X0W6P8X
4Q5P3T6R, 0011, 2X0W6P8X
7K5C5C7F, 0012, 2X0W6P8X
9Z3U9D0V, 0019, 2X0W6P8X
3D9E5W8M, 0031, 2X0W6P8X
4N5E6Y5R, 0042, 2X0W6P8X
0D4U1W4C, 0043, 2X0W6P8X
6O9F6B3U, 0044, 2X0W6P8X
0N1V9Z9U, 0045, 2X0W6P8X
4R7M9W9U, 0046, 2X0W6P8X
3J7B2B5R, 0047, 2X0W6P8X
5Z3Y1Q8Q, 0048, 2X0W6P8X
8H5C4E8O, 0057, 2X0W6P8X
4H3V4J1T, 0058, 2X0W6P8X
9I5E8S1L, 0059, 2X0W6P8X
0Q9U0T4O, 0143, 2X0W6P8X
7N1J4K1Y, 0144, 2X0W6P8X
1E0N6U7V, 0157, 2X0W6P8X
6H2F2X8K, 0158, 2X0W6P8X
5X3Z7F6F, 0159, 2X0W6P8X
5U5B4O5C, 0194, 2X0W6P8X
0P8I0Z8D, 0195, 2X0W6P8X
7B7F2K0R, 0211, 2X0W6P8X
3D1Q2T8S, 0219, 2X0W6P8X
3F3H2Y5T, 0235, 2X0W6P8X
2H0W8B2I, 0244, 2X0W6P8X
8P7Q5P6F, 0247, 2X0W6P8X
4A4V3E6B, 0248, 2X0W6P8X
5A7L5D2M, 0260, 2X0W6P8X
3D5H8L6C, 0272, 2X0W6P8X
7F9K6S2H, 0283, 2X0W6P8X
5V6N6O5A, 0284, 2X0W6P8X
8U0O8E8Q, 0285, 2X0W6P8X
8S6W5X0N, 0286, 2X0W6P8X
8T4U7I9D, 0287, 2X0W6P8X
8Q0E6G1M, 0288, 2X0W6P8X
3G9T9F7T, 0296, 2X0W6P8X
9M0L9A2T, 0297, 2X0W6P8X
4M0N5S0H, 0308, 2X0W6P8X
8V6W6X9X, 0310, 2X0W6P8X
9Y7H8O9L, 0328, 2X0W6P8X
4N5Z0Y1G, 0329, 2X0W6P8X
9S3H5G5M, 0330, 2X0W6P8X
9T8W2A4U, 0331, 2X0W6P8X
